timestamp,source_ip,destination_ip,protocol,packet_length
1780593931.9191458,2409:40c0:2f:b959:125e:326a:36f2:be38,2409:40c0:2f:b959::a5,17,152
1780593931.9296203,2409:40c0:2f:b959::a5,2409:40c0:2f:b959:125e:326a:36f2:be38,17,190
1780593932.713599,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593932.837016,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593933.7668626,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593933.8576422,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593934.7696552,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593934.8821113,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593935.8625567,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593936.0103993,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593936.6493442,fe80::8190:93d3:1db3:d27d,2409:40c0:2f:b959::a5,58,86
1780593936.6730342,fe80::185b:deff:fea4:d9f1,2409:40c0:2f:b959:125e:326a:36f2:be38,58,86
1780593936.6735182,2409:40c0:2f:b959:125e:326a:36f2:be38,fe80::185b:deff:fea4:d9f1,58,78
1780593936.673866,2409:40c0:2f:b959::a5,fe80::8190:93d3:1db3:d27d,58,78
1780593936.9500594,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593937.136362,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593938.4266586,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593938.5670698,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593939.4264977,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593939.590253,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593940.4299643,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593940.5181315,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
1780593941.4558277,2409:40c0:2f:b959:125e:326a:36f2:be38,2404:6800:4000:101f::65,58,118
1780593941.6378598,2404:6800:4000:101f::65,2409:40c0:2f:b959:125e:326a:36f2:be38,58,118
