iat,frame_size,src_mac_known,payload_entropy
0.004395008087158203,60,True,-0.0
0.0032999515533447266,60,True,-0.0
0.008125066757202148,60,True,-0.0
0.0005948543548583984,60,True,-0.0
0.004244089126586914,60,True,-0.0
0.0038530826568603516,60,True,-0.0
0.005640983581542969,60,True,-0.0
0.0015368461608886719,60,True,-0.0
0.004113197326660156,60,True,-0.0
0.005188941955566406,60,True,-0.0
0.00653386116027832,60,True,-0.0
0.0005049705505371094,60,True,-0.0
0.005763053894042969,60,True,-0.0
0.0039670467376708984,60,True,-0.0
0.0021240711212158203,60,True,-0.0
0.004308938980102539,60,True,-0.0
0.007592916488647461,60,True,-0.0
0.0005741119384765625,60,True,-0.0
0.004209995269775391,60,True,-0.0
0.00848698616027832,60,True,-0.0
0.0004448890686035156,60,True,-0.0
0.003795146942138672,60,True,-0.0
0.003262042999267578,60,True,-0.0
0.003954887390136719,60,True,-0.0
0.004715919494628906,60,True,-0.0
0.0037751197814941406,60,True,-0.0
0.003990888595581055,60,True,-0.0
0.00439906120300293,60,True,-0.0
0.004419088363647461,60,True,-0.0
0.0016019344329833984,60,True,-0.0
0.005491971969604492,60,True,-0.0
0.002360105514526367,60,True,-0.0
0.004518032073974609,60,True,-0.0
0.004709959030151367,60,True,-0.0
0.003993034362792969,60,True,-0.0
0.0023889541625976562,60,True,-0.0
0.0059659481048583984,60,True,-0.0
0.0021889209747314453,60,True,-0.0
0.005136013031005859,60,True,-0.0
0.0035071372985839844,60,True,-0.0
0.0037789344787597656,60,True,-0.0
0.0031299591064453125,60,True,-0.0
0.003966093063354492,60,True,-0.0
0.0035338401794433594,60,True,-0.0
0.005852222442626953,60,True,-0.0
0.002276897430419922,60,True,-0.0
0.0039060115814208984,60,True,-0.0
0.004015922546386719,60,True,-0.0
0.004927158355712891,60,True,-0.0
0.004130840301513672,60,True,-0.0
0.0034990310668945312,60,True,-0.0
0.003735065460205078,60,True,-0.0
0.0031938552856445312,60,True,-0.0
0.005079030990600586,60,True,-0.0
0.0036041736602783203,60,True,-0.0
0.0035920143127441406,60,True,-0.0
0.004011869430541992,60,True,-0.0
0.003763914108276367,60,True,-0.0
0.005750179290771484,60,True,-0.0
0.003108978271484375,60,True,-0.0
0.004909038543701172,60,True,-0.0
0.004520893096923828,60,True,-0.0
0.0040760040283203125,60,True,-0.0
0.0036640167236328125,60,True,-0.0
0.0031239986419677734,60,True,-0.0
0.0051059722900390625,60,True,-0.0
0.0035331249237060547,60,True,-0.0
0.004166841506958008,60,True,-0.0
0.003976106643676758,60,True,-0.0
